weekday,hour_of_day,member_casual,rides
Fri,0,casual,4439
Fri,0,member,4381
Fri,1,casual,2827
Fri,1,member,2367
Fri,2,casual,1754
Fri,2,member,1340
Fri,3,casual,905
Fri,3,member,988
Fri,4,casual,880
Fri,4,member,1246
Fri,5,casual,1923
Fri,5,member,5292
Fri,6,casual,4118
Fri,6,member,14637
Fri,7,casual,7542
Fri,7,member,27028
Fri,8,casual,9673
Fri,8,member,32727
Fri,9,casual,9347
Fri,9,member,22808
Fri,10,casual,11168
Fri,10,member,18711
Fri,11,casual,14838
Fri,11,member,23721
Fri,12,casual,19289
Fri,12,member,28363
Fri,13,casual,19907
Fri,13,member,28493
Fri,14,casual,20820
Fri,14,member,29253
Fri,15,casual,25026
Fri,15,member,37852
Fri,16,casual,29099
Fri,16,member,48555
Fri,17,casual,30793
Fri,17,member,51968
Fri,18,casual,27257
Fri,18,member,42733
Fri,19,casual,20000
Fri,19,member,29232
Fri,20,casual,14377
Fri,20,member,20142
Fri,21,casual,12180
Fri,21,member,15905
Fri,22,casual,11628
Fri,22,member,13422
Fri,23,casual,10718
Fri,23,member,10688
Mon,0,casual,3289
Mon,0,member,2770
Mon,1,casual,1859
Mon,1,member,1636
Mon,2,casual,1242
Mon,2,member,927
Mon,3,casual,801
Mon,3,member,816
Mon,4,casual,740
Mon,4,member,1217
Mon,5,casual,1620
Mon,5,member,5514
Mon,6,casual,4077
Mon,6,member,17516
Mon,7,casual,7311
Mon,7,member,33596
Mon,8,casual,9681
Mon,8,member,40827
Mon,9,casual,8152
Mon,9,member,23205
Mon,10,casual,9072
Mon,10,member,16755
Mon,11,casual,11824
Mon,11,member,20262
Mon,12,casual,13924
Mon,12,member,23623
Mon,13,casual,14863
Mon,13,member,23107
Mon,14,casual,15810
Mon,14,member,24155
Mon,15,casual,17586
Mon,15,member,32543
Mon,16,casual,21796
Mon,16,member,50441
Mon,17,casual,25061
Mon,17,member,62400
Mon,18,casual,20748
Mon,18,member,45823
Mon,19,casual,14960
Mon,19,member,30955
Mon,20,casual,10880
Mon,20,member,20868
Mon,21,casual,8236
Mon,21,member,14776
Mon,22,casual,5718
Mon,22,member,8489
Mon,23,casual,3368
Mon,23,member,4303
Sat,0,casual,9471
Sat,0,member,7999
Sat,1,casual,6792
Sat,1,member,5520
Sat,2,casual,4186
Sat,2,member,3307
Sat,3,casual,2223
Sat,3,member,1858
Sat,4,casual,1214
Sat,4,member,1168
Sat,5,casual,1298
Sat,5,member,2095
Sat,6,casual,2587
Sat,6,member,5313
Sat,7,casual,5008
Sat,7,member,9689
Sat,8,casual,9854
Sat,8,member,17243
Sat,9,casual,15565
Sat,9,member,23825
Sat,10,casual,22680
Sat,10,member,29569
Sat,11,casual,28465
Sat,11,member,32368
Sat,12,casual,31552
Sat,12,member,33363
Sat,13,casual,33266
Sat,13,member,33567
Sat,14,casual,34187
Sat,14,member,33855
Sat,15,casual,34969
Sat,15,member,33275
Sat,16,casual,33537
Sat,16,member,33676
Sat,17,casual,28996
Sat,17,member,30830
Sat,18,casual,25107
Sat,18,member,28753
Sat,19,casual,19719
Sat,19,member,22397
Sat,20,casual,14864
Sat,20,member,16498
Sat,21,casual,13950
Sat,21,member,14026
Sat,22,casual,14216
Sat,22,member,13259
Sat,23,casual,11671
Sat,23,member,10570
Sun,0,casual,10598
Sun,0,member,8440
Sun,1,casual,7401
Sun,1,member,5680
Sun,2,casual,4881
Sun,2,member,3590
Sun,3,casual,2705
Sun,3,member,2151
Sun,4,casual,1814
Sun,4,member,1628
Sun,5,casual,1708
Sun,5,member,2002
Sun,6,casual,3134
Sun,6,member,4462
Sun,7,casual,4924
Sun,7,member,7691
Sun,8,casual,8420
Sun,8,member,13036
Sun,9,casual,14004
Sun,9,member,19444
Sun,10,casual,20129
