member_casual,hour_of_day,rides
casual,0,35764
member,0,31260
casual,1,23247
member,1,19383
casual,2,14948
member,2,11402
casual,3,8343
member,3,7727
casual,4,6728
member,4,8631
casual,5,11785
member,5,33129
casual,6,27865
member,6,99482
casual,7,51399
member,7,196705
casual,8,73509
member,8,253317
casual,9,72102
member,9,167745
casual,10,86794
member,10,143871
casual,11,110390
member,11,168625
casual,12,128244
member,12,189385
casual,13,132590
member,13,185008
casual,14,139148
member,14,187552
casual,15,155599
member,15,234780
casual,16,176460
member,16,328600
casual,17,189456
member,17,373514
casual,18,162071
member,18,289179
casual,19,120111
member,19,200220
casual,20,87242
member,20,139076
casual,21,74121
member,21,108094
casual,22,63671
member,22,78407
casual,23,45766
member,23,49455
