month,member_casual,rides
2024-08,casual,274
2024-08,member,113
2024-09,casual,334223
2024-09,member,465614
2024-10,casual,210224
2024-10,member,394666
2024-11,casual,90590
2024-11,member,238773
2024-12,casual,37360
2024-12,member,137570
2025-01,casual,23405
2025-01,member,112331
2025-02,casual,27003
2025-02,member,122097
2025-03,casual,82864
2025-03,member,208458
2025-04,casual,105260
2025-04,member,257921
2025-05,casual,175655
2025-05,member,313996
2025-06,casual,278702
2025-06,member,379523
2025-07,casual,308446
2025-07,member,430394
2025-08,casual,323347
2025-08,member,443091
